,ion,ions,ment,ments,ness,nesses,ity,ities
1,3,1,0,1,0,0,4,0
2,8,8,1,0,0,0,1,0
3,5,3,2,2,0,0,0,0
4,5,3,11,2,0,0,1,0
5,6,2,1,0,0,0,0,1
6,4,4,3,0,0,0,5,1
7,10,1,0,0,0,0,0,1
8,5,6,0,1,0,0,3,0
9,3,6,0,1,1,0,1,0
10,8,6,1,1,0,0,3,0
11,15,10,0,2,0,0,1,0
12,4,7,1,0,0,0,0,1
13,9,4,1,0,0,0,1,0
14,3,2,2,4,0,0,0,0
15,8,1,0,0,0,0,3,0
16,6,1,0,1,0,0,1,0
17,9,1,0,2,0,0,2,2
18,11,2,0,1,0,0,0,0
19,8,2,0,0,1,0,4,1
20,9,1,3,0,0,0,5,0
21,17,1,2,1,0,0,2,1
22,5,4,0,3,0,0,0,1
23,5,2,0,1,0,0,2,0
24,5,5,0,2,0,0,2,0
25,9,2,0,1,0,0,1,1
26,10,2,1,3,0,0,2,1
27,6,2,1,0,0,0,1,0
28,3,3,4,1,0,0,0,0
29,2,0,1,0,2,0,1,0
30,8,2,1,0,0,0,6,0
31,4,0,0,2,1,0,9,1
32,9,3,0,0,0,0,1,0
33,5,2,1,1,0,0,3,1
34,7,0,0,2,1,0,0,0
35,3,6,1,0,0,0,2,0
36,4,2,0,1,0,0,7,0
37,3,2,4,2,1,0,2,0
38,12,2,1,0,0,0,6,0
39,3,0,1,0,0,0,2,0
40,1,2,2,1,0,0,3,1
41,2,5,0,0,0,0,3,1
42,6,1,3,1,0,0,3,0
43,15,3,0,0,1,0,4,0
44,5,5,1,0,0,0,6,0
45,8,1,2,3,0,0,5,0
46,3,1,0,1,1,0,1,0
47,8,4,0,1,0,0,4,0
48,19,1,2,2,0,0,5,0
49,4,1,1,0,1,0,1,0
50,8,5,0,5,0,0,5,0
51,4,2,1,0,0,0,1,0
52,4,0,0,0,2,0,0,0
53,7,1,0,1,1,0,0,0
54,3,3,0,0,0,0,2,0
55,11,1,0,0,0,0,2,0
56,5,6,1,1,0,0,3,0
57,3,1,0,0,2,0,1,0
58,5,1,1,0,0,0,1,0
59,3,1,0,0,0,0,0,0
60,4,3,0,0,0,0,4,0
61,9,3,0,1,1,0,0,1
62,1,1,0,0,1,0,0,0
63,8,2,0,1,0,0,0,1
64,9,4,1,0,1,0,5,0
65,4,3,2,0,0,0,2,0
66,9,1,0,1,1,0,5,0
67,11,4,0,0,0,0,1,0
68,11,0,2,1,0,0,3,0
69,10,0,0,0,0,0,2,0
70,5,2,0,0,0,0,2,0
71,9,2,1,0,0,0,1,0
72,4,0,0,1,4,0,2,0
73,10,1,3,1,0,0,1,0
74,4,3,1,0,0,0,0,0
75,8,2,0,1,0,0,2,0
76,9,1,0,0,0,0,6,0
77,8,1,0,0,4,0,1,0
78,4,1,3,1,0,0,5,1
79,9,8,5,0,1,0,11,1
80,8,1,0,0,0,0,0,0
81,8,2,1,1,1,0,4,0
82,6,5,2,1,0,0,1,2
83,3,3,2,0,0,0,1,0
84,7,2,0,1,0,0,1,0
85,8,1,0,1,0,0,0,1
86,2,5,0,1,0,0,1,0
87,5,1,1,0,0,0,2,0
88,1,1,1,0,0,0,3,0
89,6,7,2,1,0,0,0,0
90,8,3,1,1,0,0,4,0
91,4,0,0,0,0,0,5,0
92,3,1,0,1,0,0,1,0
93,7,0,0,0,0,0,5,1
94,3,0,0,0,0,0,12,0
95,2,0,0,0,2,0,0,0
96,2,2,0,0,1,0,5,1
97,9,1,0,1,0,0,2,1
98,6,0,0,1,0,0,10,0
99,7,0,0,0,2,0,4,0
100,13,1,0,0,0,0,0,0
Row_sum,647,234,86,72,34,0,248,25
